Sr. No.,Venue,Stage,Team 1,Team 2,Toss Winner,Toss decision,First Batting,Second batting,First  Innings Score ,second Innings Score,First  Innings Run Rate,Second  Innings Run Rate,Winner,Won by,Player of the match
46,"MA Chidambaram Stadium, Chennai",Group Stage,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Bowling,Chennai Super Kings,Sunrisers Hyderabad,212/3,134/10,RR 10.60,RR 7.12,CSK,78 runs,Ruturaj Gaikwad
47,"Eden Gardens, Kolkata",Group Stage,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Batting,Delhi Capitals,Kolkata Knight Riders,153/9,157/3,RR 7.65,RR 9.52,KKR,7 wickets,Varun Chakravarthy
48,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Group Stage,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,Bowling,Mumbai Indians,Lucknow Super Giants,144/7,145/6,RR 7.20,RR 7.50,LSG,4 wickets,Marcus Stoinis
49,"MA Chidambaram Stadium, Chennai",Group Stage,Chennai Super Kings,Punjab Kings,Punjab Kings,Bowling,Chennai Super Kings,Punjab Kings,162/7,163/3,RR 8.10,RR 9.14,PBKS,7 wickets,Harpreet Brar
50,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Group Stage,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Bowling,Sunrisers Hyderabad,Rajasthan Royals,201/3,200/7,RR 10.05,RR 10.00,SRH,1 run,Bhuvneshwar Kumar
51,"Wankhede Stadium, Mumbai",Group Stage,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Bowling,Kolkata Knight Riders,Mumbai Indians,169/10,145/10,RR 8.52,RR 7.70,KKR,24 runs,Venkatesh Iyer
52,"M.Chinnaswamy Stadium, Bengaluru",Group Stage,Royal Challengers Bengaluru,Gujarat Titans,Royal Challengers Bengaluru,Bowling,Gujarat Titans,Royal Challengers Bengaluru,147/10,152/6,RR 7.54,RR 11.12,RCB,4 wickets,Mohammed Siraj
53,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Group Stage,Punjab Kings,Chennai Super Kings,Punjab Kings,Bowling,Chennai Super Kings,Punjab Kings,167/9,139/9,RR 8.35,RR 6.95,CSK,28 runs,Ravindra Jadeja
54,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Group Stage,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,Bowling,Kolkata Knight Riders,Lucknow Super Giants,235/6,137/10,RR 11.75,RR 8.47,KKR,98 runs,Sunil Narine
55,"Wankhede Stadium, Mumbai",Group Stage,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Bowling,Sunrisers Hyderabad,Mumbai Indians,173/8,174/3,RR 8.65,RR 10.04,MI,7 wickets,Suryakumar Yadav
56,"Arun Jaitley Stadium, Delhi",Group Stage,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Bowling,Delhi Capitals,Rajasthan Royals,221/8,201/8,RR 11.05,RR 10.05,DC,20 runs,Kuldeep Yadav
57,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Group Stage,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,Batting,Lucknow Super Giants,Sunrisers Hyderabad,165/4,167/0,RR 8.25,RR 17.28,SRH,10 wickets,Travis Head
58,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Group Stage,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,Bowling,Royal Challengers Bengaluru,Punjab Kings,241/7,181/10,RR 10.65,RR 12.05,RCB,60 runs,Virat Kohli
59,"Narendra Modi Stadium, Ahmedabad",Group Stage,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,Bowling,Gujarat Titans,Chennai Super Kings,231/3,196/8,RR 11.55,RR 9.80,GT,35 runs,Shubman Gill
